Comment,Designator,Footprint,LCSC,Quantity
100nF,C1,C_0603,C14663,1
Conn_01x05,J3,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991,1
1SMA4749A,D1,D_DO-214AC(SMA),C19077485,1
MP6605CGR-Z,U1,QFN-24_MP6605C_MNP,C20099573,1
Conn_02x08_Odd_Even_Female,J2,PinSocket_2x08_P2.54mm_Horizontal,C22465965,1
Red,"D2,D3,D4,D5",D_0603,C2286,4
SW_DIP_x02,"SW1,SW2",SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,C25503177,2
10kΩ,"R1,R2,R3,R4,R5",R_0402,C25744,5
Conn_01x03_Pin,J4,PinHeader_1x03_P2.54mm_Vertical,C2937625,1
4.7uF,C2,C_1206,C29823,1
Conn_02x08_Odd_Even_Male,J1,PinHeader_2x08_P2.54mm_Horizontal,C492436,1
